,Unnamed: 0,thing_id,thing_name,clep_id,thing_latitude,thing_longitude,Client Name,Partner Name,City,status,runhour,fuel
389,389,7885,KCMZK01141,1318,22.396254,87.495523,Madhusudan Rice Mill Pvt Ltd,Mahindra Powerol,,False,NA,NA
390,390,7886,KCLZJ00576,1319,27.922943,78.030485,Abha Grand Hotel,Mahindra Powerol,Aligarh,False,NA,NA
391,391,7888,45kva factory,1157,0.0,0.0,M/s Goodwill Enterprise/DEB Enterprise,Genset India,,False,NA,NA
392,392,7889,TGDF8110S00140G,1320,20.262962,85.750322,TRIDENT PROPERTIES PVT LTD,Mahindra Powerol,,False,NA,NA
393,393,7890,Rishab Engg.Demo2,1243,0.0,0.0,Rishab Engg. Demo,Rishabh Engineering,,False,NA,NA
394,394,7892,CAT Mantrac Headquarters Training School,1308,6.604653333,3.368781667,Mantrac Nigeria Ltd.,Eonsfleet Prosolutions Ltd.,Ikeja,False,NA,NA
395,395,7893,Ambedkar road (Byju's),1200,0.0,0.0,Eat Fit,Perfect Generator Technologies,,False,NA,NA
396,396,7894,MGBF8088S00820G,1321,0.0,0.0,SHIUMA PROCESS EQUIPMENTS PVT LTD,Mahindra Powerol,,False,NA,NA
397,397,7895,KCKZL00325,1322,20.303451,85.82398,INSTITUTE OF CHEMICAL TECHNOLOGY ,Mahindra Powerol,Bhubaneswar,True,NA,NA
398,398,7896,Jumbotail Technologies Pvt Ltd,1323,25.586135,85.03519,Sheetal Generators,GSP Power Projects,,False,NA,NA
399,399,7898,KCNZB01341,1324,0.0,0.0,U P State Construction N Infra Development Corp Lt,Mahindra Powerol,,False,NA,NA
400,400,7899,MGBF8088S00850G,1325,26.159259,91.811432,Pratiksha By Coras,Mahindra Powerol,,False,NA,NA
401,401,7900,dg 1 ka51mn4773,1156,0.0,0.0,Ashik Mobile Generators,Ojus Power,,False,NA,NA
402,402,7901,MGBF8088S00971G,1325,26.159259,91.811432,Pratiksha By Coras,Mahindra Powerol,,False,NA,NA
403,403,7902,62.5 KVA Delhi,1218,0.0,0.0,Tara Narula,Perfect Generator Technologies,,False,NA,NA
404,404,7903,N3P20AT08694,1303,28.7046173,72.5937718, Mamta Engineering Corporation,Mahindra Powerol,,False,NA,NA
405,405,7904,KCMZA00790,1326,18.73203783,76.37171077,Swami Ramanand Teerth Medical College Ambajogai,Mahindra Powerol,,False,NA,NA
406,406,7905,APM303 TEST,1298,0.0,0.0,Test 1 GPH,Generator And Plant Hire (SA) Pty Ltd,,False,NA,NA
407,407,7906,cummins 500 KVA DG NO.54,1171,0.0,0.0,Maruti,Maruti Hiring,,False,NA,NA
408,408,7907,TGDF8110S00119F,1327,17.7267717,83.2997475,SAI MANASA CONTRUCTIONS,Mahindra Powerol,Visakhapatnam,False,NA,NA
409,409,7908,TGDF8110S00118F,1327,17.7267717,83.2997475,SAI MANASA CONTRUCTIONS,Mahindra Powerol,Visakhapatnam,False,NA,NA
410,410,7909, KELZL00692,1327,17.7267717,83.2997475,SAI MANASA CONTRUCTIONS,Mahindra Powerol,Visakhapatnam,False,NA,NA
411,411,7910,MGBF8088S00591F,1328,18.3044099,83.8769274,Sahrudhya Healthcare Srikakulam Pvt Ltd ,Mahindra Powerol,Srikakulam,False,NA,NA
412,412,7911,MGBF8088S00611F,1328,18.3044099,83.8769274,Sahrudhya Healthcare Srikakulam Pvt Ltd ,Mahindra Powerol,Srikakulam,False,NA,NA
413,413,7912,KELZC00479,1329,31.3787,75.6219,RMX INDUSTRIES,Mahindra Powerol,Jalandhar,False,NA,NA
414,414,7913,ARIHANT PUNE,1330,18.5112835,73.8362284,Tata Communications Ltd,Mahindra Powerol,Pune,True,NA,NA
415,415,7916,KCNZA01322,1331,30.900102,75.878697,PRITAM SCIENTIFIC DYERS,Mahindra Powerol,Ludhiana,True,NA,NA
416,416,7917,KCLZL00681,1332,30.89375562,75.9088537,HARSH HYDRAULIC INDUSTRIES,Mahindra Powerol,Ludhiana,True,NA,NA
417,417,7919,NWMZH13845,1333,31.313539,75.578814,MAX SHOWROOM,Mahindra Powerol,Jalandhar,False,NA,NA
418,418,7920,Sahibabad,1159,0.0,0.0,Jeevan Sir,Perfect Generator Technologies,,False,NA,NA
419,419,7921,Sterling 82.5,1334,21.494204,83.962659,Green Solution & Services,Phoenix Robotix,Sambalpur,False,NA,NA
420,420,7925,Autopower Demo DG,1336,18.7552,73.4445,Autopower Gensets,Phoenix Robotix,,False,NA,NA
421,421,7927,45kva factory 1,1157,0.0,0.0,M/s Goodwill Enterprise/DEB Enterprise,Genset India,,False,NA,NA
422,422,7928,KEMZA00767,1337,30.8625279,75.91674055,RADIANT COMPONENTS PVT LTD,Mahindra Powerol,,False,NA,NA
423,423,7929,MDI Ambala Kohler 520KVA,1317,0.0,0.0,MDI Ambala,Kohler Power India,,False,NA,NA
424,424,7931,Ripplesoft testing and assessment services Campus 2,1338,21.530118,84.017947,Ripplesoft Testing & Assessment Servic,Phoenix Robotix,,False,NA,NA
425,425,7932,3385/25TP,1058,0.0,0.0,Perfect Generator Technologies Pvt Ltd,Perfect Generator Technologies,,False,NA,NA
